"Publisher.ID","Publisher.Name","Keyword.ID","Keyword","Match.Type","Campaign","Keyword.Group","Category","Bid.Strategy","Keyword.Type","Status","Search.Engine.Bid","Clicks","Click.Charges","Avg..Cost.per.Click","Impressions","Engine.Click.Thru..","Avg..Pos.","Trans..Conv...","Total.Cost..Trans.","Amount","Total.Cost","Total.Volume.of.Bookings"
"K2966","MSN - US",43000000031840192,"flight france marseille","Broad","Air France Brand & French Destinations","Marseille","uncategorized","","Unassigned","Live",0,1,5.65,5.65,11,9.09,1.18,0,0,0,5.65,0
"K2966","MSN - US",43000000031840208,"airfrance airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,4,5.78,1.44,232,1.72,1.43,0,0,0,5.78,0
"K2966","MSN - US",43000000031840264,"flight to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,2,6.01,3.01,19,10.53,2.26,0,0,0,6.01,0
"K2966","MSN - US",43000000031840320,"newark to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,1,6.19,6.19,16,6.25,1.61,0,0,0,6.19,0
"K2966","MSN - US",43000000031840352,"air france discount ticket","Broad","Air France Brand & French Destinations","France Branded","uncategorized","","Unassigned","Live",0,4,6.61,1.65,21,19.05,1.05,0,0,0,6.61,0
"K2966","MSN - US",43000000031840208,"flight south of france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,3,7.2,2.4,20,15,1.7,0,0,0,7.2,0
"K2966","MSN - US",43000000031840096,"france airport","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,3,7.44,2.48,519,0.58,1.91,0,0,0,7.44,0
"K2966","MSN - US",43000000031840192,"marseille fares","Broad","Air France Brand & French Destinations","Marseille","uncategorized","","Unassigned","Live",0,1,7.7,7.7,2,50,1.5,0,0,0,7.7,0
"K2966","MSN - US",43000000031840392,"paris france tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,5,7.79,1.56,358,1.4,1.38,0,0,0,7.79,0
"K2966","MSN - US",43000000031840200,"france plane tickets","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,2,8.11,4.06,20,10,3.85,0,0,0,8.11,0
"K2966","MSN - US",43000000031840368,"cheap travel france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,1,8.48,8.48,4,25,4.75,0,0,0,8.48,0
"K2966","MSN - US",43000000031840456,"ticket paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,2,8.68,4.34,24,8.33,3.58,0,0,0,8.68,0
"K2966","MSN - US",43000000031840232,"nice airfares","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,2,9.28,4.64,4,50,1,0,0,0,9.28,0
"K2966","MSN - US",43000000031840184,"france airfares","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,3,10.19,3.4,43,6.98,2.07,0,0,0,10.19,0
"K2966","MSN - US",43000000031840192,"france airports","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,4,11.78,2.94,275,1.45,1.2,0,0,0,11.78,0
"K2966","MSN - US",43000000031840248,"nice cheap tickets","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,2,12.83,6.41,6,33.33,1.67,0,0,0,12.83,0
"K2966","MSN - US",43000000031840160,"french airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,9,13.02,1.45,254,3.54,1.19,0,0,0,13.02,0
"K2966","MSN - US",43000000031840456,"paris france airport","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,3,15.02,5.01,174,1.72,1.71,0,0,0,15.02,0
"K2966","MSN - US",43000000031840320,"paris cheap flights","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,3,15.08,5.03,1101,0.27,1.95,0,0,0,15.08,0
"K2966","MSN - US",43000000031840072,"airfrance airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,18,15.22,0.85,258,6.98,1.03,0,0,0,15.22,0
"K2966","MSN - US",43000000031840344,"ticket to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,14,16.1,1.15,198,7.07,1.11,0,0,0,16.1,0
"K2966","MSN - US",43000000031840120,"air france to paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","","Unassigned","Live",0,5,16.59,3.32,357,1.4,1.21,0,0,0,16.59,0
"K2966","MSN - US",43000000031840320,"flights to marseille","Broad","Air France Brand & French Destinations","Marseille","uncategorized","","Unassigned","Live",0,5,17.11,3.42,65,7.69,1.37,0,0,0,17.11,0
"K2966","MSN - US",43000000031840144,"flight to paris","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","","Unassigned","Live",0,6,17.27,2.88,385,1.56,1.72,0,0,0,17.27,0
"K2966","MSN - US",43000000031840416,"paris airlines","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,15,17.82,1.19,239,6.28,1.16,0,0,0,17.82,0
"K2966","MSN - US",43000000031840128,"travel to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,4,20.6,5.15,111,3.6,1.68,0,0,0,20.6,0
"K2966","MSN - US",43000000031840328,"fly to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,24,21.16,0.88,184,13.04,1.04,0,0,0,21.16,0
"K2966","MSN - US",43000000031840288,"france cheap flights","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,8,23,2.88,210,3.81,4.5,0,0,0,23,0
"K2966","MSN - US",43000000031840104,"france cheap tickets","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,10,23.78,2.38,92,10.87,1.62,0,0,0,23.78,0
"K2966","MSN - US",43000000031840384,"nice airport","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,13,23.86,1.84,432,3.01,1.22,0,0,0,23.86,0
"K2966","MSN - US",43000000031840176,"fly to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,15,24.29,1.62,354,4.24,1.02,0,0,0,24.29,0
"K2966","MSN - US",43000000031840240,"visit paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,10,24.49,2.45,437,2.29,1.51,0,0,0,24.49,0
"K2966","MSN - US",43000000031840096,"nice cheap flights","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,14,26.4,1.89,113,12.39,1.61,0,0,0,26.4,0
"K2966","MSN - US",43000000031840064,"trip in france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,12,26.79,2.23,430,2.79,1.58,0,0,0,26.79,0
"K2966","MSN - US",43000000031840416,"paris airline","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,8,28.11,3.51,206,3.88,1.42,0,0,0,28.11,0
"K2966","MSN - US",43000000031840384,"france airlines","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,19,28.45,1.5,247,7.69,1.23,0,0,0,28.45,0
"K2966","MSN - US",43000000031840072,"france tickets","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,6,30.99,5.16,203,2.96,2.12,0,0,0,30.99,0
"K2966","MSN - US",43000000031840448,"trips to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,15,33.05,2.2,425,3.53,1.36,0,0,0,33.05,0
"K2966","MSN - US",43000000031840224,"paris fares","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,15,35.6,2.37,145,10.34,1.58,0,0,0,35.6,0
"K2966","MSN - US",43000000031840072,"flight to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,13,35.89,2.76,513,2.53,1.69,0,0,0,35.89,0
"K2966","MSN - US",43000000031840448,"france airfare","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,17,39.05,2.3,248,6.85,1.86,0,0,0,39.05,0
"K2966","MSN - US",43000000031840192,"france flights","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,13,39.79,3.06,494,2.63,1.39,0,0,0,39.79,0
"K2966","MSN - US",43000000031840240,"paris ticket","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,16,40.55,2.53,380,4.21,1.51,0,0,0,40.55,0
"K2966","MSN - US",43000000031840456,"flights to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,17,44.34,2.61,645,2.64,1.92,0,0,0,44.34,0
"K2966","MSN - US",43000000031840224,"france airline","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,16,45.06,2.82,217,7.37,1.2,0,0,0,45.06,0
"K2966","MSN - US",43000000031840280,"paris tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,22,46.04,2.09,1280,1.72,1.26,0,0,0,46.04,0
"K2966","MSN - US",43000000031840352,"trip to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,19,52.96,2.79,696,2.73,1.65,0,0,0,52.96,0
"K2966","MSN - US",43000000031840160,"paris airfares","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,11,56.55,5.14,1840,0.6,1.25,0,0,0,56.55,0
"K2966","MSN - US",43000000031840176,"flights to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","","Unassigned","Live",0,31,60.5,1.95,402,7.71,1.14,0,0,0,60.5,0
"K2966","MSN - US",43000000031840096,"paris france travel","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,22,60.91,2.77,519,4.24,1.66,0,0,0,60.91,0
"K2966","MSN - US",43000000031840280,"paris tickets","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,25,62.64,2.51,638,3.92,1.8,0,0,0,62.64,0
"K2966","MSN - US",43000000031840384,"paris airport","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,48,70.96,1.48,2583,1.86,1.31,0,0,0,70.96,0
"K2966","MSN - US",43000000031840312,"france travel","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,12,73.47,6.12,1166,1.03,2.96,0,0,0,73.47,0
"K2966","MSN - US",43000000039941848,"business class","Broad","Business Class","Business Class - Generic","uncategorized","","Unassigned","Live",0,22,118.1,5.37,4847,0.45,2.5,0,0,0,118.1,0
"K2966","MSN - US",43000000031840160,"paris cheap tickets","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,38,139.86,3.68,422,9,1.78,0,0,0,139.86,0
"K2966","MSN - US",43000000031840168,"air france ticket","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,47,141.06,3,649,7.24,1.16,0,0,0,141.06,0
"K2966","MSN - US",43000000031840160,"trips to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,55,146,2.65,567,9.7,1.72,0,0,0,146,0
"K2966","MSN - US",43000000031840184,"paris travel","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,57,170.25,2.99,1750,3.26,2.11,0,0,0,170.25,0
"K2966","MSN - US",43000000031840152,"flight to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,82,175.3,2.14,2753,2.98,1.5,0,0,0,175.3,0
"K2966","MSN - US",43000000031840080,"paris flights","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,72,234.15,3.25,4123,1.75,1.45,0,0,0,234.15,0
"K2966","MSN - US",43000000031840328,"flights to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,290,480.61,1.66,4071,7.12,1.31,0,0,0,480.61,0
"K2966","MSN - US",43000000031840288,"travel to france","Broad","Air France Brand & French Destinations","France","uncategorized","","Unassigned","Live",0,196,713.87,3.64,51140,0.38,1.47,0,0,0,713.87,0
"K2966","MSN - US",43000000031840112,"travel in paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Live",0,160,824.51,5.15,17476,0.92,3.38,0,0,0,824.51,0
"K1123","Overture - Global",43000000005421096,"charles de gaulle airport in paris","Standard","Unassigned","Unassigned","franceairports","Position 1-2 Target","Unassigned","Paused",0.13,1,0.13,0.13,212,0.47,1.12,0,0,0,0.13,0
"K1123","Overture - Global",43000000005421304,"avn ticket","Standard","Unassigned","Unassigned","avignon","Position 1-2 Target","Unassigned","Paused",0.13,1,0.13,0.13,4417,0.02,1.83,0,0,0,0.13,0
"K1123","Overture - Global",43000000005421424,"cheap flight to orly","Standard","Unassigned","Unassigned","orly","Position 1-2 Target","Unassigned","Paused",0.13,1,0.14,0.14,217,0.46,1.51,0,0,0,0.14,0
"K1123","Overture - Global",43000000005421024,"ajaccio airport","Standard","Unassigned","Unassigned","ajaccio","Position 1-2 Target","Unassigned","Paused",0.13,1,0.15,0.15,387,0.26,1.44,0,0,0,0.15,0
"K1123","Overture - Global",43000000005421280,"roissy airport","Advanced","Unassigned","Unassigned","franceairports","Position 1-2 Target","Unassigned","Paused",0.13,2,0.25,0.13,739,0.27,3.2,0,0,0,0.25,0
"K1123","Overture - Global",43000000005421384,"beauvais flight","Standard","Unassigned","Unassigned","beauvais","Position 1-2 Target","Unassigned","Paused",0.13,2,0.26,0.13,513,0.39,1.91,0,0,0,0.26,0
"K1123","Overture - Global",43000000005421344,"aeroport nantes","Standard","Unassigned","Unassigned","nantes","Position 1-2 Target","Unassigned","Paused",0.13,1,0.28,0.28,1192,0.08,2,0,0,0,0.28,0
"K1123","Overture - Global",43000000005420960,"poitiers airport","Standard","Unassigned","Unassigned","poitiers","Position 1-2 Target","Unassigned","Paused",0.13,3,0.38,0.13,136,2.21,1.85,0,0,0,0.38,0
"K1123","Overture - Global",43000000005421176,"charles de gaulle flight","Advanced","Unassigned","Unassigned","franceairports","Position 1-2 Target","Unassigned","Paused",0.13,3,0.4,0.13,464,0.65,2.4,0,0,0,0.4,0
"K1123","Overture - Global",43000000005421016,"air france frequence plus","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,4,0.5,0.13,583,0.69,1.02,0,0,0,0.5,0
"K1123","Overture - Global",43000000005421272,"anger ticket","Standard","Unassigned","Unassigned","anger","Position 1-2 Target","Unassigned","Paused",0.13,2,0.55,0.28,1868,0.11,1.82,0,0,0,0.55,0
"K1123","Overture - Global",43000000005420896,"air france frequency plus","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,1,0.58,0.58,28,3.57,1.07,0,0,0,0.58,0
"K1123","Overture - Global",43000000005421296,"air chicago france","Advanced","Unassigned","Unassigned","france","Position 1-2 Target","Unassigned","Sent",0.13,5,0.64,0.13,293,1.71,1.95,0,0,0,0.64,0
"K1123","Overture - Global",43000000005421256,"phoenix to paris","Standard","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.13,6,0.76,0.13,736,0.82,3.85,0,0,0,0.76,0
"K1123","Overture - Global",43000000005420880,"air customer france service","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,10,1.44,0.14,516,1.94,1.41,0,0,0,1.44,0
"K1123","Overture - Global",43000000005421056,"air france lax","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,11,1.69,0.15,329,3.34,2.45,0,0,0,1.69,0
"K1123","Overture - Global",43000000005421248,"nice plane ticket","Standard","Unassigned","Unassigned","nice","Position 1-2 Target","Unassigned","Paused",0.13,7,2.36,0.34,15060,0.05,2.55,0,0,0,2.36,0
"K1123","Overture - Global",43000000005421176,"airport in paris france","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.13,4,2.48,0.62,648,0.62,1.82,0,0,0,2.48,0
"K1123","Overture - Global",43000000005421072,"lax to paris","Standard","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.13,20,3.1,0.16,867,2.31,2.05,0,0,0,3.1,0
"K1123","Overture - Global",43000000005420928,"france international airport","Standard","Unassigned","Unassigned","franceairports","Position 1-2 Target","Unassigned","Paused",0.13,11,3.84,0.35,782,1.41,3.63,0,0,0,3.84,0
"K1123","Overture - Global",43000000005421064,"air france new york","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,22,4.04,0.18,638,3.45,3.66,0,0,0,4.04,0
"K1123","Overture - Global",43000000005421088,".com air france","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.13,32,5.76,0.18,1033,3.1,2.66,0,0,0,5.76,0
"K1122","Overture - US",43000000005277816,"boston to venice","Advanced","Unassigned","Unassigned","boston","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,125,0.8,3.39,0,0,0,0.13,0
"K1122","Overture - US",43000000005289888,"stuttgart plane ticket","Advanced","Unassigned","Unassigned","stuttgart","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,5,20,1,0,0,0,0.13,0
"K1122","Overture - US",43000000005289952,"munich plane ticket","Advanced","Unassigned","Unassigned","munich","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,25,4,2.04,0,0,0,0.13,0
"K1122","Overture - US",43000000005290000,"nuremberg cheap ticket","Advanced","Unassigned","Unassigned","nuremberg","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,44,2.27,1.69,0,0,0,0.13,0
"K1122","Overture - US",43000000006997688,"airplane flight ticket","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,204,0.49,3.24,0,0,0,0.13,0
"K1122","Overture - US",43000000006997704,"airway fare","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,715,0.14,1.09,0,0,0,0.13,0
"K1122","Overture - US",43000000006997856,"airway flight","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,372,0.27,2.58,0,0,0,0.13,0
"K1122","Overture - US",43000000006997952,"airplane ticket web site","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,110,0.91,4.13,0,0,0,0.13,0
"K1122","Overture - US",43000000006981632,"cheap travel idea","Standard","Unassigned","Unassigned","europe2","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,631,0.16,6.63,0,0,0,0.13,0
"K1122","Overture - US",43000000014278640,"flight paris paris","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,849,0.12,1.94,0,0,0,0.13,0
"K1122","Overture - US",43000000014278792,"planning a trip to france","Standard","Unassigned","Unassigned","france","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.13,0.13,120,0.83,3.22,0,0,0,0.13,0
"K1122","Overture - US",43000000014278680,"city trip paris","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.14,0.14,50,2,4.06,0,0,0,0.14,0
"K1122","Overture - US",43000000006997600,"airline cheap international ticket travel","Standard","Unassigned","Unassigned","airlinegeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.15,0.15,261,0.38,4.44,0,0,0,0.15,0
"K1122","Overture - US",43000000006997712,"airplane ticket special","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,2,0.25,0.13,56,3.57,2.3,0,0,0,0.25,0
"K1122","Overture - US",43000000014278536,"air france los angeles","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.25,0.13,120,1.67,3.22,0,0,0,0.25,0
"K1122","Overture - US",43000000014278584,"flight nice paris","Standard","Unassigned","Unassigned","nice","Position 1-4 Bid Strategy","Unassigned","Paused",0.13,2,0.25,0.13,59,3.39,1.7,0,0,0,0.25,0
"K1122","Overture - US",43000000014278792,"aeroport cdg","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.25,0.13,151,1.32,1.57,0,0,0,0.25,0
"K1122","Overture - US",43000000018973984,"athenes","Advanced","Unassigned","Unassigned","athens","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,2,0.25,0.13,375,0.53,1.16,0,0,0,0.25,0
"K1122","Overture - US",43000000005421560,"frequence plus","Advanced","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Unavailable",0.13,2,0.25,0.13,369,0.54,1.12,0,0,0,0.25,0
"K1122","Overture - US",43000000006997624,"airline airline","Standard","Unassigned","Unassigned","airlinegeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,2,0.26,0.13,15546,0.01,1.48,0,0,0,0.26,0
"K1122","Overture - US",43000000014278768,"airport in paris france","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.26,0.13,209,0.96,3.84,0,0,0,0.26,0
"K1122","Overture - US",43000000006997688,"international travel bargain","Standard","Unassigned","Unassigned","internationalgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.31,0.31,976,0.1,1.89,0,0,0,0.31,0
"K1122","Overture - US",43000000006997664,"international airline booking","Standard","Unassigned","Unassigned","internationalgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.31,0.31,51,1.96,2.8,0,0,0,0.31,0
"K1122","Overture - US",43000000014278592,"de gaulle airport","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.35,0.35,1099,0.09,4.06,0,0,0,0.35,0
"K1122","Overture - US",43000000014278640,"san francisco to paris flight","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.35,0.35,37,2.7,4.73,0,0,0,0.35,0
"K1122","Overture - US",43000000014278672,"air france europe","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.35,0.35,114,0.88,4.35,0,0,0,0.35,0
"K1122","Overture - US",43000000014278792,"planning a trip to paris","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,3,0.39,0.13,87,3.45,3.74,0,0,0,0.39,0
"K1122","Overture - US",43000000006997608,"international air reservation","Standard","Unassigned","Unassigned","internationalgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.4,0.4,37,2.7,1.48,0,0,0,0.4,0
"K1122","Overture - US",43000000006997992,"international airline ticket sale","Standard","Unassigned","Unassigned","internationalgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.4,0.4,157,0.64,3.05,0,0,0,0.4,0
"K1122","Overture - US",43000000006997688,"airfare flight international","Standard","Unassigned","Unassigned","airfaregeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.43,0.43,182,0.55,3.36,0,0,0,0.43,0
"K1122","Overture - US",43000000014278584,"france round trip ticket","Standard","Unassigned","Unassigned","france","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.43,0.21,72,2.78,3.96,0,0,0,0.43,0
"K1122","Overture - US",43000000014278800,"air france home page","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.43,0.21,100,2,1.82,0,0,0,0.43,0
"K1122","Overture - US",43000000014278752,"air chicago france","Standard","Unassigned","Unassigned","france","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.45,0.23,64,3.13,2.07,0,0,0,0.45,0
"K1122","Overture - US",43000000006997632,"airfare site travel web","Standard","Unassigned","Unassigned","airfaregeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,0.51,0.51,118,0.85,3.19,0,0,0,0.51,0
"K1122","Overture - US",43000000014278592,"air customer france service","Standard","Unassigned","Unassigned","france","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,4,0.58,0.14,172,2.33,1.99,0,0,0,0.58,0
"K1122","Overture - US",43000000014278784,"air france destination","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.58,0.29,122,1.64,1.74,0,0,0,0.58,0
"K1122","Overture - US",43000000014278824,"discounted flight paris","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.6,0.6,18,5.56,2.67,0,0,0,0.6,0
"K1122","Overture - US",43000000006998040,"airfare business class discount international","Standard","Unassigned","Unassigned","airfaregeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,2,0.64,0.32,76,2.63,2.22,0,0,0,0.64,0
"K1122","Overture - US",43000000008373880,"greece fares","Standard","Unassigned","Unassigned","greece","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,3,0.65,0.22,101,2.97,2.48,0,0,0,0.65,0
"K1122","Overture - US",43000000006997792,"air plan ticket","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,4,0.83,0.21,98,4.08,2.08,0,0,0,0.83,0
"K1122","Overture - US",43000000014278568,"charles de gaulle international airport","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,3,0.83,0.28,527,0.57,2.21,0,0,0,0.83,0
"K1122","Overture - US",43000000014278528,"air france site","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.84,0.42,144,1.39,3.12,0,0,0,0.84,0
"K1122","Overture - US",43000000014278688,"cheapest flight to france","Standard","Unassigned","Unassigned","france","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,1,0.84,0.84,106,0.94,4.71,0,0,0,0.84,0
"K1122","Overture - US",43000000014278576,"air france air line","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,0.9,0.45,108,1.85,5.83,0,0,0,0.9,0
"K1122","Overture - US",43000000008373872,"jfk to athens","Standard","Unassigned","Unassigned","athens","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,3,0.94,0.31,50,6,1.58,0,0,0,0.94,0
"K1122","Overture - US",43000000006997592,"air booking","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,3,0.96,0.32,295,1.02,2.09,0,0,0,0.96,0
"K1122","Overture - US",43000000006998008,"international airfare rate","Standard","Unassigned","Unassigned","internationalgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,1,1,115,0.87,3.3,0,0,0,1,0
"K1122","Overture - US",43000000006997752,"airplane tiket","Standard","Unassigned","Unassigned","airgeneral","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,2,1.13,0.56,59,3.39,1.75,0,0,0,1.13,0
"K1122","Overture - US",43000000014278744,"washington to paris","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,2,1.13,0.56,194,1.03,3.15,0,0,0,1.13,0
"K1122","Overture - US",43000000014278560,"airfrance ca","Standard","Unassigned","Unassigned","airfrance","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,10,1.25,0.13,329,3.04,1.48,0,0,0,1.25,0
"K1122","Overture - US",43000000005289960,"nuremberg ticket","Advanced","Unassigned","Unassigned","nuremberg","Position 5-10 Bid Strategy","Unassigned","Paused",0.13,1,1.26,1.26,55,1.82,1.79,0,0,0,1.26,0
