"Publisher.ID","Publisher.Name","Keyword.ID","Keyword","Match.Type","Campaign","Keyword.Group","Category","Bid.Strategy","Keyword.Type","Status","Search.Engine.Bid","Clicks","Click.Charges","Avg..Cost.per.Click","Impressions","Engine.Click.Thru..","Avg..Pos.","Trans..Conv...","Total.Cost..Trans.","Amount","Total.Cost","Total.Volume.of.Bookings"
"K1175","Google - Global",43000000019449400,"air france airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Unavailable",5,34,81.44,2.4,397,8.56,1.55,2.94,81.44,1317.5,81.44,1
"K435","Google - US",43000000013068960,"air france tickets paris","Broad","Paris & France Terms","Paris Branded","uncategorized","Position 2-5 Bid Strategy","Unassigned","Live",15,20,51.43,2.57,72,27.78,1.01,5,51.43,805.8,51.43,1
"K2615","Yahoo - US",43000000039657944,"european airline","Advanced","Western Europe Destinations","Europe","uncategorized","","Unassigned","Paused",6.25,19,33.9,1.78,634,3,1.46,5.26,33.9,516.8,33.9,1
"K1175","Google - Global",43000000019449352,"paris tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Unavailable",5,14,41.97,3,1667,0.84,1.19,7.14,41.97,632.4,41.97,1
"K1175","Google - Global",43000000019449264,"paris cheap flight","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Unavailable",5,162,382.74,2.36,1255,12.91,1.87,1.23,191.37,5664.4,382.74,2
"K2615","Yahoo - US",43000000027382584,"airfrance us","Advanced","Air France Branded","Air France Website","uncategorized","","Unassigned","Live",7.5,136,77.27,0.57,714,19.05,1.16,1.47,38.64,1132.2,77.27,2
"K435","Google - US",43000000005278792,"barcelona flight","Broad","Google_Yearlong 2006","Google|Barcelona","barcelona","Position 1-4 Bid Strategy","Unassigned","Paused",6.25,61,126.79,2.08,1413,4.32,1.63,1.64,126.79,1851.3,126.79,1
"K2615","Yahoo - US",43000000039651072,"international air fare","Advanced","Geo Targeted DC","International DC","uncategorized","","Unassigned","Paused",6.25,11,22.32,2.03,586,1.88,3.59,36.36,5.58,317.05,22.32,4
"K2615","Yahoo - US",43000000029356680,"france cheap ticket","Standard","Paris & France Terms","France","uncategorized","","Unassigned","Live",6.25,32,43.78,1.37,181,17.68,1,3.13,43.78,606.9,43.78,1
"K2966","MSN - US",43000000031840456,"air france","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,5417,8288.46,1.53,39052,13.87,1.3,1.37,112.01,110667.45,8288.46,74
"K2003","MSN - Global",43000000019452512,"air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Position 1-4 Bid Strategy","Unassigned","Deactivated",0,560,305.79,0.55,2022,27.7,1.04,1.07,50.96,4070.65,305.79,6
"K2966","MSN - US",43000000031840368,"air france com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","","Unassigned","Live",0,390,342.8,0.88,1337,29.17,1.4,1.28,68.56,4459.1,342.8,5
"K1175","Google - Global",43000000019449416,"flight to paris","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","","Unassigned","Unavailable",5,385,902.22,2.34,4437,8.68,2.17,1.82,128.89,11599.95,902.22,7
"K1123","Overture - Global",43000000005420864,"flight to nice","Advanced","Unassigned","Unassigned","nice","Position 1-2 Target","Unassigned","Paused",1.01,415,288.47,0.7,59642,0.7,1.71,0.48,144.24,3675.4,288.47,2
"K1175","Google - Global",43000000008139168,"flight to marseilles","Broad","Air France Global Campaign","Marseille","marseille","Position 1- 3","Unassigned","Unavailable",11.25,5,13.59,2.72,15,33.33,1.27,20,13.59,167.45,13.59,1
"K1122","Overture - US",43000000007003960,"casablanca","Standard","Unassigned","Unassigned","regional","Position 1-4 Bid Strategy","Unassigned","Paused",0.55,131,72.96,0.56,3021,4.34,0.98,0.76,72.96,895.05,72.96,1
"K2615","Yahoo - US",43000000027382616,"flight to paris","Advanced","Air France Branded","Air France Website","uncategorized","","Unassigned","Live",7.5,1348,1542.9,1.14,117521,1.15,1.34,0.59,192.86,18467.1,1542.9,8
"K2966","MSN - US",43000000031840088,"air france airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,67,138.22,2.06,500,13.4,1.13,1.49,138.22,1632,138.22,1
"K2615","Yahoo - US",43000000029356744,"paris cheap flight","Standard","Paris & France Terms","Paris","uncategorized","","Unassigned","Live",6.25,304,413.57,1.36,7399,4.11,1,1.32,103.39,4598.5,413.57,4
"K1175","Google - Global",43000000005663208,"flights to nice","Broad","Air France Global Campaign","Nice","nice","Position 1- 3","Unassigned","Unavailable",1.25,145,209.05,1.44,4864,2.98,1.67,0.69,209.05,2271.2,209.05,1
"K1175","Google - Global",43000000019449128,"paris flights","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Unavailable",5,438,908.62,2.07,6348,6.9,2.54,1.6,129.8,9387.4,908.62,7
"K2615","Yahoo - US",43000000029356840,"fly to paris","Standard","Paris & France Terms","Paris","uncategorized","","Unassigned","Live",6.25,44,50.36,1.14,314,14.01,1.22,2.27,50.36,508.3,50.36,1
"K1175","Google - Global",43000000005663304,"flights to paris","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unassigned","Unavailable",5,1558,2517.87,1.62,70914,2.2,2.36,0.83,193.68,24140,2517.87,13
"K435","Google - US",43000000014127704,"paris cheap flights","Broad","Geo Targeted Boston","Boston to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Paused",6.25,26,47.79,1.84,139,18.71,1.68,3.85,47.79,451.35,47.79,1
"K2966","MSN - US",43000000031840112,"french airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Live",0,20,21.23,1.06,328,6.1,1.01,5,21.23,198.05,21.23,1
"K2615","Yahoo - US",43000000039641432,"international air fare","Advanced","Geo Targeted Atlanta","International Atlanta","uncategorized","","Unassigned","Paused",6.25,6,18.66,3.11,355,1.69,3.6,16.67,18.66,170,18.66,1
"K1122","Overture - US",43000000014278520,"air france airline","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unassigned","Paused",0.51,1280,663.01,0.52,21407,5.98,1.3,0.55,94.72,5928.75,663.01,7
"K1175","Google - Global",43000000005663264,"france airline","Broad","Air France Global Campaign","France","france","Position 1- 3","Unassigned","Unavailable",3.75,292,643.09,2.2,14347,2.04,1.74,1.37,160.77,5525,643.09,4
"K1175","Google - Global",43000000005663176,"paris cheap tickets","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unassigned","Unavailable",5,207,463.19,2.24,10175,2.03,3.27,1.45,154.4,3958.45,463.19,3
"K1122","Overture - US",43000000005277696,"cheap ticket to europe","Advanced","Unassigned","Unassigned","europe","Position 1-4 Bid Strategy","Unassigned","Paused",0.95,542,514.27,0.95,15797,3.43,2.21,0.37,257.14,4380.9,514.27,2
"K1175","Google - Global",43000000005663280,"nice flights","Broad","Air France Global Campaign","Nice","nice","Position 1- 3","Unassigned","Unavailable",2.5,65,87.43,1.35,4480,1.45,1.48,1.54,87.43,742.05,87.43,1
"K1175","Google - Global",43000000007704264,"travel to nice","Broad","Air France Global Campaign","Nice","nice","Position 1- 3","Unassigned","Unavailable",8.75,43,127.21,2.96,2374,1.81,1.44,2.33,127.21,1060.8,127.21,1
"K2615","Yahoo - US",43000000027382592,"airfrance tickets","Advanced","Air France Branded","Air France Brand","uncategorized","","Unassigned","Live",6.25,74,83,1.12,1669,4.43,1.72,1.35,83,676.6,83,1
"K435","Google - US",43000000014113704,"france air tickets","Broad","Geo Targeted New York","New York to France Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Live",6.25,36,55.14,1.53,296,12.16,1.11,2.78,55.14,442.85,55.14,1
"K1123","Overture - Global",43000000005421024,"charles de gaulle airport","Standard","Unassigned","Unassigned","franceairports","Position 1-2 Target","Unassigned","Paused",0.26,104,23.49,0.23,22722,0.46,1.85,0.96,23.49,187,23.49,1
"K1122","Overture - US",43000000005277608,"airline ticket to italy","Advanced","Unassigned","Unassigned","italy","Position 1-4 Bid Strategy","Unassigned","Paused",1,142,130.62,0.92,5875,2.42,2.01,0.7,130.62,1025.1,130.62,1
"K435","Google - US",43000000034321232,"paris fares","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Unassigned","Paused",5,9,30.54,3.39,123,7.32,1.62,11.11,30.54,236.3,30.54,1
"K1175","Google - Global",43000000005663400,"paris tickets","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unassigned","Unavailable",2.5,237,462.45,1.95,23540,1.01,1.79,2.11,92.49,3512.2,462.45,5
"K435","Google - US",43000000013068752,"nice fares","Broad","French Destinations","Nice","uncategorized","Position 2-5 Bid Strategy","Unassigned","Live",10,22,55.94,2.54,126,17.46,1.1,4.55,55.94,416.5,55.94,1
"K1123","Overture - Global",43000000005421432,"flight to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",1.25,5393,4545.64,0.84,200030,2.7,1.48,0.45,189.4,33199.3,4545.64,24
"K1122","Overture - US",43000000014278640,"paris airport","Standard","Unassigned","Unassigned","paris","Position 1-4 Bid Strategy","Unassigned","Paused",0.36,79,28.5,0.36,6323,1.25,2.77,1.27,28.5,207.4,28.5,1
"K2615","Yahoo - US",43000000029356960,"paris cheap ticket","Standard","Paris & France Terms","Paris","uncategorized","","Unassigned","Live",6.25,101,142.6,1.41,748,13.5,1,0.99,142.6,1016.6,142.6,1
"K1123","Overture - Global",43000000005420984,"flight to france","Advanced","Unassigned","Unassigned","france","Position 1-2 Target","Unassigned","Sent",0.81,294,304.42,1.04,23579,1.25,1.58,0.68,152.21,2142,304.42,2
"K2003","MSN - Global",43000000019452320,"travel in paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","Position 2-5 Bid Strategy","Unassigned","Deactivated",0,150,264.26,1.76,4798,3.13,2.95,0.67,264.26,1856.4,264.26,1
"K435","Google - US",43000000014114000,"paris cheap flights","Broad","Geo Targeted New York","New York to Paris Sale","uncategorized","Position 1-4 Bid Strategy","Unassigned","Live",6.25,238,456.46,1.92,1080,22.04,1.25,2.94,65.21,3175.6,456.46,7
"K435","Google - US",43000000013068784,"ticket to france","Broad","Paris & France Terms","France","uncategorized","Pos 3-6","Unassigned","Paused",10,114,424.15,3.72,1139,10.01,1.57,0.88,424.15,2910.4,424.15,1
"K2615","Yahoo - US",43000000029356888,"paris airfares","Standard","Paris & France Terms","Paris","uncategorized","","Unassigned","Live",6.25,150,254.55,1.7,4991,3.01,1.03,0.67,254.55,1733.15,254.55,1
"K435","Google - US",43000000014119792,"paris flight","Broad","Geo Targeted Houston","Houston to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Paused",6.25,55,147.5,2.68,2134,2.58,1.72,1.82,147.5,1000.45,147.5,1
"K1175","Google - Global",43000000005663272,"paris airfares","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unassigned","Unavailable",2.5,95,152.4,1.6,3288,2.89,2.07,1.05,152.4,1003,152.4,1
"K1175","Google - Global",43000000019449328,"ticket paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","","Unassigned","Unavailable",5,113,329.97,2.92,1262,8.95,1.53,1.77,164.99,2148.8,329.97,2
"K435","Google - US",43000000013068440,"air france","Broad","Air France Branded","Air France Brand","uncategorized","","Unassigned","Live",27.5,29060,46188.44,1.59,385476,7.54,1.44,0.77,206.2,290609.9,46188.44,224
"K435","Google - US",43000000013068760,"air france to paris","Broad","Paris & France Terms","Paris Branded","uncategorized","Position 2-5 Bid Strategy","Unassigned","Live",10,247,371.07,1.5,1223,20.2,1.07,1.62,92.77,2334.1,371.07,4
"K435","Google - US",43000000013072880,"italy fares","Broad","Western Europe Destinations","Italy","uncategorized","Position 5-10 Bid Strategy","Unassigned","Unavailable",1.25,97,145.12,1.5,974,9.96,3.99,1.03,145.12,902.7,145.12,1
"K1123","Overture - Global",43000000005420872,"cheap paris airfare","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.93,292,193.54,0.66,242220,0.12,1.33,0.34,193.54,1185.75,193.54,1
"K435","Google - US",43000000013136072,"air france deal","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Unassigned","Live",2.91,53,93.84,1.77,592,8.95,1.43,1.89,93.84,536.35,93.84,1
"K435","Google - US",43000000005278568,"athens airline","Broad","Google_Yearlong 2006","Google|Athens","athens","Position 1-4 Bid Strategy","Unassigned","Paused",6.25,76,149.7,1.97,2740,2.77,1.45,1.32,149.7,843.2,149.7,1
"K1175","Google - Global",43000000019449008,"air france ticket","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","","Unassigned","Unavailable",5,258,677.52,2.63,2250,11.47,1.68,1.55,169.38,3814.8,677.52,4
